Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: GAZA , with_vote: 1000, new_vote : 5300.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 30 , Contestant_Updated: PM , with_vote: 50, new_vote : 17290.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 6 , Contestant_Updated: PM , with_vote: 10, new_vote : 17387.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 1.2 , Contestant_Updated: PM , with_vote: 2, new_vote : 17416.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 1.2 , Contestant_Updated: PM , with_vote: 2, new_vote : 17457.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 1.2 , Contestant_Updated: PM , with_vote: 2, new_vote : 17508.<br/>
Description: The Vodafone Cash payment has been approved and processed successfully, Amount_Billed: 1.2 , Contestant_Updated: PM , with_vote: 2, new_vote : 17554.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: PM , with_vote: 50, new_vote : 17793.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: PM , with_vote: 10, new_vote : 17870.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: PM , with_vote: 20, new_vote : 18033.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: GAZA , with_vote: 1000, new_vote : 18116.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: GAGA , with_vote: 1000, new_vote : 16225.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: SAPATO , with_vote: 50, new_vote : 9793.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: SUZZY , with_vote: 20, new_vote : 1852.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: GAZA , with_vote: 20, new_vote : 18425.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAAFIA , with_vote: 20, new_vote : 16888.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAAFIA , with_vote: 20, new_vote : 16940.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: SAPATO , with_vote: 20, new_vote : 9831.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: MAAFIA , with_vote: 10, new_vote : 16969.<br/>
